Track Name,Artist,Album Name,Release Date,Track URL,Album URL,Played At
Von dutch a. g. cook remix featuring addison rae,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/6nx4f2nVmFNWquoMtUrdYX,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:57:39.333Z
Talk talk featuring troye sivan,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/7CwWhMGWICOl2ICwbk3QTE,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:55:02.030Z
365,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/5cwmTObejHow6xQHs1vsM0,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:51:18.540Z
Mean girls,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/3sqDDGklUzQi895Ry0gvV2,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:47:53.609Z
Everything is romantic,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/54V3msmo9UTDY8iJY7pnwz,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:44:39.246Z
Von dutch,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/2kOdk4z9GlgxA7LSgTPb7S,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:27:21.827Z
Sympathy is a knife,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0xOqJjMOnem8EhkHYZKbQS,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:24:34.990Z
Sympathy is a knife,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0xOqJjMOnem8EhkHYZKbQS,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:24:00.529Z
Sympathy is a knife,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0xOqJjMOnem8EhkHYZKbQS,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:21:04.647Z
Sympathy is a knife,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0xOqJjMOnem8EhkHYZKbQS,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:18:33.419Z
Club classics,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/1s8sPe3xicX87TBSsdI38c,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:13:51.782Z
360,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/4brgXtayKW8ygJnOQv6ESP,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:11:18.217Z
Guess featuring billie eilish,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0IsIY8pfu1yaGkPUD7pkDx,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:09:03.918Z
I think about it all the time featuring bon iver,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0ycAilgFiRrzbRFIYIpLH0,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:06:12.318Z
Mean girls featuring julian casablancas,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/11J4S7N9cyB1Xvx2ClzTkt,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:02:52.100Z
B2b featuring tinashe,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/2xsvVV9DXvYtqXId9Uf2ra,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T20:01:11.178Z
Apple featuring the japanese house,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/1PJe42QnCMD6JqhcooaWzc,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T19:58:37.787Z
"Girl, so confusing featuring lorde",Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/7srqyRb5plksW5k65itXDB,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T19:56:00.449Z
So I featuring a. g. cook,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/03kw5kVvTjfZ4BAUU4Txx3,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T19:52:34.759Z
Talk talk featuring troye sivan,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/7CwWhMGWICOl2ICwbk3QTE,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T19:35:46.337Z
Von dutch,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/2kOdk4z9GlgxA7LSgTPb7S,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T18:00:05.596Z
Talk talk,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/5HBOQoMpJxWjHfQmBC5dTs,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T17:59:11.086Z
I might say something stupid,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/3geWuv6uW6D2yxP2Z9D5U9,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T17:56:29.380Z
Sympathy is a knife,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0xOqJjMOnem8EhkHYZKbQS,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T17:54:40.041Z
